Nombre,direccion_completa,Departamento,Localidad,Longitud,Latitud,Ambito
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
SALINAS Nº 2,"IRUPE ESQ. CEIBO, ",CANELONES,SALINAS,-55.84048995,-34.76685528,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
BARROS BLANCOS Nº 2,"ANGEL CAPUTTI, ",CANELONES,BARROS BLANCOS,-56.00254835,-34.75700123,Urbano
